TransactionID,Timestamp,TransactionType,Status,UserID,Details,LogLevel,StartTime,EndTime,TimeDifference
transaction_id_1,"2023-06-01 10:30:45,123",TYPE_A,SUCCESS,user_1,Transaction details,INFO,"10:30:45,123","10:30:45,345",0:00:00.222000
transaction_id_2,"2023-06-01 10:31:23,456",TYPE_B,SUCCESS,user_2,Transaction details,INFO,"10:31:23,456","10:31:23,789",0:00:00.333000
transaction_id_3,"2023-06-01 10:32:15,678",TYPE_A,ERROR,user_3,Transaction details,ERROR,"10:32:15,678","10:32:16,012",0:00:00.334000
transaction_id_4,"2023-06-01 10:33:05,678",TYPE_C,SUCCESS,user_4,Transaction details,INFO,"10:33:05,678","10:33:05,890",0:00:00.212000
transaction_id_5,"2023-06-01 10:34:10,111",TYPE_B,SUCCESS,user_5,Transaction details,INFO,"10:34:10,111","10:34:10,345",0:00:00.234000
transaction_id_6,"2023-06-01 10:35:22,345",TYPE_A,ERROR,user_6,Transaction details,ERROR,"10:35:22,345","10:35:22,678",0:00:00.333000
transaction_id_7,"2023-06-01 10:36:40,789",TYPE_D,SUCCESS,user_7,Transaction details,INFO,"10:36:40,789","10:36:41,123",0:00:00.334000
transaction_id_8,"2023-06-01 10:37:55,234",TYPE_A,SUCCESS,user_8,Transaction details,INFO,"10:37:55,234","10:37:55,567",0:00:00.333000
transaction_id_9,"2023-06-01 10:38:40,678",TYPE_C,SUCCESS,user_9,Transaction details,INFO,"10:38:40,678","10:38:40,890",0:00:00.212000
transaction_id_10,"2023-06-01 10:39:12,345",TYPE_B,ERROR,user_10,Transaction details,ERROR,"10:39:12,345","10:39:12,678",0:00:00.333000
transaction_id_11,"2023-06-01 10:40:25,678",TYPE_A,SUCCESS,user_11,Transaction details,INFO,"10:40:25,678","10:40:25,890",0:00:00.212000
transaction_id_12,"2023-06-01 10:41:45,123",TYPE_B,SUCCESS,user_12,Transaction details,INFO,"10:41:45,123","10:41:45,345",0:00:00.222000
transaction_id_13,"2023-06-01 10:42:30,456",TYPE_A,ERROR,user_13,Transaction details,ERROR,"10:42:30,456","10:42:30,789",0:00:00.333000
transaction_id_14,"2023-06-01 10:43:15,678",TYPE_C,SUCCESS,user_14,Transaction details,INFO,"10:43:15,678","10:43:15,890",0:00:00.212000
transaction_id_15,"2023-06-01 10:44:40,111",TYPE_D,SUCCESS,user_15,Transaction details,INFO,"10:44:40,111","10:44:40,345",0:00:00.234000
transaction_id_16,"2023-06-01 10:45:55,345",TYPE_A,SUCCESS,user_16,Transaction details,INFO,"10:45:55,345","10:45:55,678",0:00:00.333000
transaction_id_17,"2023-06-01 10:46:20,789",TYPE_B,ERROR,user_17,Transaction details,ERROR,"10:46:20,789","10:46:21,123",0:00:00.334000
transaction_id_18,"2023-06-01 10:47:35,234",TYPE_A,SUCCESS,user_18,Transaction details,INFO,"10:47:35,234","10:47:35,567",0:00:00.333000
transaction_id_19,"2023-06-01 10:48:10,678",TYPE_C,SUCCESS,user_19,Transaction details,INFO,"10:48:10,678","10:48:10,890",0:00:00.212000
transaction_id_20,"2023-06-01 10:49:45,345",TYPE_D,ERROR,user_20,Transaction details,ERROR,"10:49:45,345","10:49:45,678",0:00:00.333000
transaction_id_21,"2023-06-01 10:50:40,789",TYPE_A,SUCCESS,user_21,Transaction details,INFO,"10:50:40,789","10:50:41,123",0:00:00.334000
transaction_id_22,"2023-06-01 10:51:55,234",TYPE_B,SUCCESS,user_22,Transaction details,INFO,"10:51:55,234","10:51:55,567",0:00:00.333000
transaction_id_23,"2023-06-01 10:52:10,678",TYPE_A,ERROR,user_23,Transaction details,ERROR,"10:52:10,678","10:52:10,890",0:00:00.212000
transaction_id_24,"2023-06-01 10:53:25,345",TYPE_C,SUCCESS,user_24,Transaction details,INFO,"10:53:25,345","10:53:25,678",0:00:00.333000
transaction_id_25,"2023-06-01 10:54:30,789",TYPE_D,SUCCESS,user_25,Transaction details,INFO,"10:54:30,789","10:54:31,123",0:00:00.334000
transaction_id_26,"2023-06-01 10:55:45,234",TYPE_A,SUCCESS,user_26,Transaction details,INFO,"10:55:45,234","10:55:45,567",0:00:00.333000
transaction_id_27,"2023-06-01 10:56:20,678",TYPE_B,ERROR,user_27,Transaction details,ERROR,"10:56:20,678","10:56:21,012",0:00:00.334000
transaction_id_28,"2023-06-01 10:57:35,111",TYPE_A,SUCCESS,user_28,Transaction details,INFO,"10:57:35,111","10:57:35,345",0:00:00.234000
transaction_id_29,"2023-06-01 10:58:50,456",TYPE_C,SUCCESS,user_29,Transaction details,INFO,"10:58:50,456","10:58:50,789",0:00:00.333000
transaction_id_30,"2023-06-01 10:59:15,678",TYPE_D,ERROR,user_30,Transaction details,ERROR,"10:59:15,678","10:59:15,890",0:00:00.212000
